id_hogar,cve_municipio,municipio,pa_mediana_remesa,pa_media_remesa,pa_desv_remesa,pa_cv_remesa,pa_pendiente_24m,pa_pendiente_norm,pa_n_meses_sin_envio,pa_max_racha_sin_envio,pa_fuerza_estacional,pa_antiguedad_meses,pa_cuota_propuesta_mxn,pa_ratio_remesa_cuota,pb_edad,pb_genero_F,pb_n_dependientes,pb_escolaridad_ord,pb_vivienda_propia,pb_vivienda_rentada,pc_iim_dp2,pc_pct_viv_remesas,pc_pct_viv_emigrantes,pc_imn_2020,pc_escolaridad_promedio_mun,pc_pct_pob_ocupada_2sm,pc_score_regional,pc_sub_capacidad_pago,pc_sub_intensidad_migratoria,default_12m,predicted_pd,expected_loss,decision,risk_bucket,interest_rate_model
H000001,14001,Acatic,419.8026,422.5012608695653,98.71241156106755,0.2336381466836428,2.990359826086956,0.0071232522763959,1.0,1.0,0.9999952177678316,51.0,6196.463174669048,1.2194773997674226,49.0,0.0,1.0,3.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.2657004968540392,8890.578058935544,1,Low,0.28843622358431764
H000002,14001,Acatic,462.3799,447.0446086956522,112.41506243560436,0.2514627405162076,0.5444678260869557,0.0011775335088894,1.0,1.0,0.983474420214602,49.0,6151.057808054628,1.353074293839588,33.0,1.0,2.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.2766313724272018,9188.50804193452,1,Low,0.29335511759224087
H000003,14001,Acatic,396.2696,424.6008291666667,111.38194486289244,0.2623215434635249,-0.261378913043478,-0.0006595987000856,0.0,0.0,1.0,88.0,6367.850415635865,1.1201351059512514,54.0,1.0,1.0,2.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.3751470546395706,12899.953770180264,1,Medium,0.33768717458780684
H000004,14001,Acatic,425.3019,424.7379,85.77814167802042,0.2019554687208756,-4.654265521739132,-0.0109434392880425,1.0,1.0,0.8465769017990183,80.0,6584.210591154108,1.1626958302769177,56.0,1.0,1.0,4.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.34715501686746664,12343.005389687709,1,Medium,0.3250907575903601
H000005,14001,Acatic,603.8679500000001,598.866825,162.98199729719752,0.2721506526884296,5.823873391304348,0.0096442829782642,0.0,0.0,1.0,105.0,9271.775862664865,1.1723345409771249,22.0,1.0,2.0,4.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.20867243977779062,10447.726087809577,1,Low,0.2627735979000058
H000006,14001,Acatic,161.9294,183.45638695652173,73.05266141952482,0.3982017886182286,-0.4789889999999992,-0.0029580113308639,1.0,1.0,1.0,37.0,2655.5652988491647,1.0975927427817904,29.0,1.0,2.0,0.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.8438781381497698,12101.256900691038,0,High,0.5486161621673965
H000007,14001,Acatic,306.56845,347.68044545454546,119.75228796931772,0.3444320482641976,5.816652782608696,0.0189734226813251,2.0,1.0,1.0,47.0,5201.869429781721,1.0608171109422777,47.0,1.0,0.0,4.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.6259503734806279,17583.00540679438,1,Medium,0.4505486680662826
H000008,14001,Acatic,157.7406,160.9549260869565,45.347764329589786,0.2817420095927383,3.162001086956521,0.0200455753747387,1.0,1.0,1.0,38.0,2203.81793704092,1.2883690400543644,41.0,0.0,3.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,1,0.42306644949331296,5034.75172174933,1,Medium,0.35925090227199086
H000009,14001,Acatic,409.41005,430.23490833333335,119.54289491695444,0.2778549406417206,-0.0095440869565224,-2.331180428160592e-05,0.0,0.0,0.9187663130727696,138.0,6559.994395626416,1.123382194489862,45.0,0.0,1.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.3455752950144293,12241.648792232647,1,Medium,0.3243798827564932
H000010,14001,Acatic,259.03785,276.004045,103.3882173826932,0.374589500609287,-4.649854739130434,-0.0179504838352018,4.0,1.0,0.3900715944165615,113.0,4104.933429985697,1.1358725737036486,35.0,0.0,2.0,1.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.9012056977817239,19976.70273903604,0,High,0.5744135640017758
H000011,14001,Acatic,361.66435,405.2993666666667,171.74149522600038,0.4237398558958198,-0.6861771304347823,-0.0018972761081781,0.0,0.0,1.0,38.0,5841.1481629085765,1.1144997727224903,56.0,1.0,1.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.4977125647647499,15698.94929999353,1,Medium,0.3928416541441375
H000012,14001,Acatic,275.33140000000003,278.1237636363636,81.1469965751545,0.2917657790696776,-3.773474695652174,-0.0137052101418587,2.0,1.0,1.0,96.0,3869.834531737694,1.2806659197840675,54.0,1.0,0.0,0.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.36145165055881046,7553.293625984782,1,Medium,0.33152424275146475
H000013,14001,Acatic,255.0868,261.9102652173914,78.81116349647317,0.300909028636423,7.2571009130434785,0.0284495352681654,1.0,1.0,1.0,45.0,3789.978744104711,1.21150083153953,46.0,1.0,2.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.46696614059138564,9556.875434113002,1,Medium,0.37900576326612356
H000014,14001,Acatic,298.5841,316.75691739130434,82.37077877319365,0.2600441355837456,-2.01160795652174,-0.0067371569903479,1.0,1.0,0.6854848880332556,80.0,4504.356512171608,1.1931812647327238,59.0,1.0,2.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.4612911142941914,11220.22602726087,1,Medium,0.3764520014323862
H000015,14001,Acatic,431.6044,398.1757714285714,110.30492630292692,0.2770257113012575,2.696155913043478,0.0062468221200791,3.0,1.0,1.0,71.0,5683.1663158945885,1.3669983893084603,51.0,1.0,2.0,4.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.3243628323518398,9954.402783930753,1,Low,0.3148342745583279
H000016,14001,Acatic,509.4681,551.1289478260869,180.39016667926137,0.3273102735590381,4.887415826086957,0.0095931734019989,1.0,1.0,0.7529899875067888,159.0,7459.88551871795,1.2292984626895482,35.0,0.0,4.0,2.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.5441830494111439,21921.53354910342,1,Medium,0.41375337223501485
H000017,14001,Acatic,276.31359999999995,262.66398333333336,59.6915309247589,0.2272543428575338,3.467761478260869,0.0125500933658743,0.0,0.0,1.0,127.0,3931.384028703909,1.2651129382645687,49.0,0.0,2.0,3.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.15809119813613812,3356.1929417278243,1,Low,0.24001203916126218
H000018,14001,Acatic,351.02255,375.05173181818185,132.22551618153983,0.3525527412992731,7.928906043478262,0.0225880247393743,2.0,1.0,0.5556836654037249,103.0,5828.8959211237325,1.0839798798091933,33.0,1.0,5.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.8894299411065822,27995.73060154399,0,High,0.5691144734979621
H000019,14001,Acatic,440.4143,479.6301523809524,164.63257457289131,0.3432490091701528,11.92880695652174,0.0270854215145188,3.0,1.0,0.9215479110311636,25.0,6572.967357516252,1.2060697960008695,56.0,1.0,1.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.6440685909521114,22860.585851380467,1,Medium,0.4587018659284502
H000020,14001,Acatic,280.6177,303.41125217391306,115.61544860017968,0.3810519477171854,4.755689130434781,0.0169472172654639,1.0,1.0,0.5712511364385826,68.0,4393.5097600240215,1.1496773367751396,44.0,1.0,4.0,0.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.7661113667132137,18175.95594136717,0,High,0.5136211150209462
H000021,14001,Acatic,429.2284,433.3519478260869,115.36085665904606,0.2662059262402179,0.137164347826087,0.0003195602803218,1.0,1.0,1.0,44.0,6497.147602471217,1.1891543293646802,43.0,1.0,2.0,1.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.618076532413295,21684.96608784892,1,Medium,0.4470054395859828
H000022,14001,Acatic,209.9429,221.54046086956524,76.64434527314955,0.3459609363107486,3.790674000000001,0.0180557380125739,1.0,1.0,0.6631153103802276,58.0,3056.285677224059,1.23645908763095,37.0,1.0,3.0,2.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.5712109754020636,9427.23318309036,1,Medium,0.4259159389309287
H000023,14001,Acatic,226.536,235.50944347826083,64.12651392324413,0.2722885034933364,2.6392093043478257,0.0116502865078743,1.0,1.0,0.9476314013779475,64.0,3647.564451358526,1.1179097873051402,60.0,1.0,2.0,4.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.3972647722504259,7824.863849603551,1,Medium,0.3476401475126917
H000024,14001,Acatic,574.2819999999999,565.4465681818182,123.13801157664858,0.21777125993106,-2.166069,-0.0037717863349364,2.0,1.0,0.1467555715719223,49.0,8823.632101381576,1.1715216456476525,43.0,1.0,3.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.7134147515052507,33992.51023609681,1,High,0.48990763817736294
H000025,14001,Acatic,123.316,134.42187083333334,47.31901376242158,0.3520187114572402,-0.4804038695652172,-0.0038957140157418,0.0,0.0,0.8799550218929404,66.0,2004.178467958464,1.107530110460204,40.0,0.0,3.0,3.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.5546032592533767,6002.229116458098,1,Medium,0.41844246666401963
H000026,14001,Acatic,310.0289,315.7127217391304,86.41180340282307,0.2737039005803006,1.994203826086957,0.0064323159101843,1.0,1.0,1.0,115.0,4700.968956813103,1.187099989654721,41.0,1.0,2.0,3.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.3357954123191441,8524.244569423785,1,Medium,0.3199789355436149
H000027,14001,Acatic,354.86905,391.652825,153.98429031248114,0.3931652741493213,0.4556860869565227,0.0012840964489761,0.0,0.0,0.6194958778992901,35.0,5651.4546312749935,1.130265270935904,51.0,1.0,2.0,4.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.3313677326575036,10112.632419864647,1,Medium,0.3179864796958767
H000028,14001,Acatic,362.1973,401.7398913043479,138.12601050264314,0.3438195048397681,-6.856621869565217,-0.0189306266765799,1.0,1.0,1.0,35.0,6113.436218574107,1.066429936766497,49.0,1.0,3.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.7918931034950724,26142.415092787476,0,High,0.5252228965727826
H000029,14001,Acatic,425.69315,443.3070375,144.6058886930531,0.3261980443814927,-4.465101695652174,-0.0104890146709012,0.0,0.0,0.5339419485236305,33.0,6218.805497923764,1.2321460612585853,50.0,0.0,0.0,4.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.17752385240738447,5961.5260705637065,1,Low,0.248756733583323
H000030,14001,Acatic,297.17285000000004,307.3044,85.59294779253275,0.2785282208537618,-0.3057780000000001,-0.0010289567166044,2.0,1.0,1.0,48.0,4957.257026147838,1.079046592053885,50.0,1.0,3.0,2.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.7692829714935792,20593.080443875133,0,High,0.5150483371721107
H000031,14001,Acatic,308.7104,300.2642090909092,98.30494758496042,0.3273948229880346,1.2059018260869567,0.0039062559152103,2.0,1.0,1.0,27.0,4616.644704529177,1.203641942501768,71.0,1.0,2.0,2.0,0.0,1.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,1,0.6276570219929533,15647.415120959333,1,Medium,0.451316659896829
H000032,14001,Acatic,279.05635,287.02767727272726,87.50993157979234,0.3048832517173678,-0.573428739130435,-0.0020548851123811,2.0,1.0,1.0,152.0,3739.5283367553534,1.3432213497700831,40.0,1.0,3.0,3.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.2537009005721396,5123.0972164492905,1,Low,0.2830364052574629
H000033,14001,Acatic,754.9442,797.8794285714284,243.00869557836225,0.3045681927324027,-10.594087913043476,-0.0140329416572025,3.0,2.0,0.9996241084216289,103.0,10986.801424501014,1.23684729294333,39.0,1.0,5.0,1.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.8250785631569065,48950.86139829477,0,High,0.540156353420608
H000034,14001,Acatic,509.24125,529.5477227272727,117.44745127497065,0.2217882283962881,-9.788763434782608,-0.0192222516042889,2.0,2.0,0.7940548127586164,41.0,7742.4077998743505,1.183913678655464,35.0,1.0,3.0,3.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.657991045015518,27509.94899554835,1,Medium,0.4649669702569832
H000035,14001,Acatic,388.2909,411.314625,142.3823793755706,0.3461641544488494,5.685231913043477,0.0146416820817677,0.0,0.0,0.9944030628122604,110.0,6248.93159831238,1.1184689878646696,52.0,1.0,2.0,2.0,1.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.34778878860224566,11735.865093430928,1,Medium,0.32537595487101056
H000036,14001,Acatic,388.15135,397.416675,143.9222406710961,0.3621444436650678,-8.03936547826087,-0.0207119348631941,0.0,0.0,0.0,26.0,5306.662133047386,1.3165948999258836,59.0,1.0,2.0,3.0,0.0,0.0,61.87355,9.698208111,3.85099025,0.890938649711349,7.29,66.0987245643073,0.462267,0.355929,0.666032,0,0.23293159255838453,6674.882013828009,1,Low,0.2736902166512731
